text,toxic,severe_toxic,obscene,threat,insult,identity_hate,language
"Hello, how are you?",0,0,0,0,0,0,
tujhe maar dunga,1,1,0,1,0,0,ur
Thanks for the help!,0,0,0,0,0,0,en
You are an idiot and should die,1,1,1,1,1,0,
تم بیوقوف ہو,1,0,0,0,1,0,ur
Kill yourself you worthless piece of shit,1,1,1,1,1,0,
شكرا لك,0,0,0,0,0,0,ar
tu bhenchod hai,1,1,1,0,1,0,ur
I fucking hate you all,1,1,1,0,1,0,
This is helpful information,0,0,0,0,0,0,
میں تمہیں مار دوں گا,1,1,0,1,0,0,ur
Shukriya dost,0,0,0,0,0,0,ur
هذا رائع,0,0,0,0,0,0,ar
شکریہ دوست,0,0,0,0,0,0,ur
"Great post, thanks for sharing!",0,0,0,0,0,0,
I will kill you,1,1,0,1,0,0,en
سأقتلك,1,1,0,1,0,0,ar
You are stupid,1,0,1,0,1,0,en
Bahut acha hai ye,0,0,0,0,0,0,ur
یہ بہت اچھا ہے,0,0,0,0,0,0,ur
أنت غبي,1,0,0,0,1,0,ar
This is a great community,0,0,0,0,0,0,en
